Index,Red,Green,Blue
0,0,0,0,
1,0,0,0,
2,0,0,0,
3,0,11,0,
4,0,65,0,
5,0,111,0,
6,0,164,0,
7,0,261,0,
8,0,308,7,
9,0,431,0,
10,0,537,0,
11,0,682,0,
12,0,846,1,
13,0,912,0,
14,0,1074,0,
15,0,1350,0,
16,0,1480,0,
17,0,1681,0,
18,0,1621,0,
19,0,2064,0,
20,0,1835,0,
21,0,2048,0,
22,0,1988,0,
23,0,1911,0,
24,0,2258,0,
25,0,2129,0,
26,0,1748,0,
27,0,1776,0,
28,0,1850,0,
29,0,1687,0,
30,0,1605,0,
31,0,1661,0,
32,0,1355,0,
33,0,1360,0,
34,0,1189,0,
35,0,1278,0,
36,0,1062,0,
37,0,1027,0,
38,0,1052,0,
39,0,1084,0,
40,0,1013,0,
41,0,1026,3,
42,0,915,2,
43,0,926,7,
44,0,1029,14,
45,0,1013,24,
46,0,1023,46,
47,0,875,67,
48,0,1110,108,
49,0,1057,137,
50,0,862,254,
51,0,1120,347,
52,0,927,483,
53,0,1073,626,
54,1,1069,785,
55,0,1004,1135,
56,1,1275,1262,
57,1,1274,1629,
58,1,1129,1756,
59,8,1266,2201,
60,6,1495,2355,
61,10,1548,2514,
62,9,1591,2767,
63,20,2046,2943,
64,37,1706,2958,
65,32,1998,2921,
66,41,1704,2876,
67,53,2022,2907,
68,74,1705,2869,
69,103,1800,2873,
70,132,1675,2899,
71,179,1766,3043,
72,193,1593,2919,
73,242,1711,3041,
74,238,1474,3107,
75,336,1491,3238,
76,386,1566,3224,
77,404,1456,3140,
78,483,1445,3218,
79,607,1524,3189,
80,628,1371,3004,
81,771,1545,3030,
82,784,1278,3078,
83,1001,1606,3008,
84,1016,1364,2787,
85,1177,1475,2834,
86,1269,1513,2960,
87,1332,1537,2962,
88,1446,1813,2940,
89,1487,1863,2911,
90,1457,1681,2949,
91,1574,1885,3107,
92,1585,2170,2983,
93,1591,1907,2922,
94,1557,2008,3045,
95,1569,1948,3017,
96,1660,2325,2739,
97,1648,2094,2826,
98,1420,1713,2700,
99,1559,2084,2818,
100,1418,1670,2710,
101,1384,1811,2618,
102,1319,1720,2559,
103,1342,1743,2777,
104,1156,1603,2611,
105,1120,1693,2643,
106,955,1386,2597,
107,969,1515,2582,
108,828,1639,2622,
109,782,1542,2560,
110,752,1588,2538,
111,737,1540,2558,
112,719,1784,2531,
113,700,1751,2517,
114,628,1425,2660,
115,673,1836,2642,
116,587,1604,2756,
117,617,1565,2867,
118,610,1581,2872,
119,592,1507,3066,
120,557,1762,2912,
121,593,1769,3011,
122,552,1448,2813,
123,566,1654,2909,
124,582,1872,2780,
125,559,1914,2745,
126,571,1844,2527,
127,520,2103,2097,
128,664,1925,2202,
129,650,2023,1984,
130,618,1811,1854,
131,730,2206,1756,
132,594,1907,1499,
133,667,1968,1331,
134,675,2026,1237,
135,685,2096,1146,
136,771,2032,1027,
137,715,2029,1015,
138,667,1730,874,
139,740,1607,905,
140,744,1666,839,
141,766,1454,866,
142,765,1341,808,
143,772,1354,849,
144,817,1247,801,
145,817,1213,870,
146,744,942,791,
147,806,1152,801,
148,760,931,796,
149,777,1080,770,
150,812,981,757,
151,797,904,889,
152,799,1006,838,
153,861,1003,863,
154,814,814,914,
155,910,779,868,
156,907,848,844,
157,918,817,880,
158,888,756,967,
159,1011,828,972,
160,879,690,837,
161,996,696,924,
162,912,579,901,
163,952,622,924,
164,884,514,830,
165,1074,528,809,
166,977,499,819,
167,1073,506,897,
168,1040,450,797,
169,1216,504,802,
170,1250,414,797,
171,1403,483,784,
172,1534,504,746,
173,1639,473,721,
174,1682,474,725,
175,1776,452,673,
176,1875,621,674,
177,1769,587,629,
178,1582,512,633,
179,1743,611,641,
180,1441,652,632,
181,1477,723,652,
182,1483,645,580,
183,1409,656,599,
184,1437,850,575,
185,1449,777,583,
186,1389,720,580,
187,1479,719,511,
188,1592,812,525,
189,1655,741,471,
190,1657,646,421,
191,1666,703,393,
192,1857,778,297,
193,1896,767,330,
194,1813,611,274,
195,1979,800,219,
196,1814,699,191,
197,1956,795,183,
198,1928,781,166,
199,2055,830,152,
200,2012,816,109,
201,2303,912,108,
202,2333,843,75,
203,2670,851,91,
204,2787,847,67,
205,3232,788,67,
206,3154,687,61,
207,3476,700,56,
208,3424,573,37,
209,3516,499,30,
210,3102,377,27,
211,3176,388,23,
212,2787,288,19,
213,2885,294,24,
214,2630,241,18,
215,2731,201,8,
216,2664,168,7,
217,2955,167,4,
218,2955,125,2,
219,3360,114,1,
220,3554,102,0,
221,4138,108,0,
222,3987,68,0,
223,4057,57,3,
224,4327,54,1,
225,3713,49,1,
226,3185,16,0,
227,2929,18,0,
228,2551,10,0,
229,2432,7,0,
230,2195,5,0,
231,2256,9,0,
232,1960,2,0,
233,2126,1,0,
234,2186,1,0,
235,2265,0,0,
236,2417,2,0,
237,2445,0,0,
238,2282,0,0,
239,1826,0,0,
240,1972,0,0,
241,1456,0,0,
242,1137,1,0,
243,986,0,0,
244,748,0,0,
245,749,2,0,
246,667,0,0,
247,582,0,0,
248,428,1,0,
249,357,0,0,
250,313,0,0,
251,302,0,0,
252,242,0,0,
253,178,0,0,
254,67,0,0,
255,112,0,0,
Means,181.22,100.05,106.41
STD,49.05,52.88,34.06
