Index,Red,Green,Blue
0,815,1501,3813,
1,82,203,487,
2,2,195,521,
3,127,306,568,
4,12,352,697,
5,83,512,987,
6,20,688,1204,
7,79,1024,1449,
8,66,1303,1961,
9,79,1669,1896,
10,137,1963,2800,
11,119,1837,3361,
12,152,2127,2896,
13,178,2208,3326,
14,431,2241,3321,
15,336,2616,3379,
16,874,2506,3063,
17,567,2550,3055,
18,842,2672,2936,
19,1493,2670,2866,
20,1393,2685,3403,
21,813,2870,3645,
22,1423,2655,3543,
23,1531,3173,3025,
24,2212,3310,3898,
25,1708,3314,4012,
26,2190,2731,3388,
27,1762,3253,3075,
28,2304,3215,3678,
29,3075,2811,3641,
30,2510,3055,4075,
31,2274,3318,3320,
32,2241,2843,3820,
33,3643,3048,3760,
34,3270,2885,4385,
35,3091,3283,3442,
36,2523,3085,4159,
37,2941,3384,3691,
38,4081,2888,3406,
39,3111,3294,3903,
40,2630,3109,3888,
41,2705,3151,3471,
42,3343,2675,3456,
43,4107,3220,3949,
44,2768,2927,3992,
45,2586,2783,3648,
46,3209,2609,3749,
47,2943,2620,4145,
48,3870,2604,3996,
49,2482,2576,4362,
50,2862,2666,4071,
51,2538,2486,4245,
52,2406,2549,4420,
53,3437,2396,4542,
54,2691,2642,4377,
55,2343,2444,4375,
56,2218,2564,4476,
57,2824,2591,4349,
58,2917,2587,4009,
59,2344,2479,4111,
60,2140,2642,3832,
61,2438,2722,3786,
62,3090,2620,4186,
63,2720,2746,3994,
64,2494,2597,3546,
65,2534,2720,3544,
66,2685,2752,3478,
67,3263,2896,3374,
68,2804,2917,3259,
69,2918,2773,3294,
70,3113,3124,3463,
71,3580,3242,3326,
72,4234,3276,3327,
73,3528,3103,3155,
74,3641,3623,3407,
75,3722,3672,3274,
76,4288,3543,3070,
77,4213,3676,3000,
78,3695,3669,3283,
79,3507,3852,2913,
80,3527,3957,3298,
81,4668,3884,2889,
82,3549,4067,3033,
83,3215,4016,2680,
84,3362,4186,2856,
85,3119,3920,2583,
86,4183,4065,2411,
87,3217,3952,2089,
88,2901,4264,2340,
89,2976,3988,2204,
90,2941,3722,2076,
91,3628,3743,1898,
92,3124,3784,2233,
93,2619,3655,2018,
94,2817,3355,1955,
95,3053,3476,1642,
96,3651,3384,2323,
97,3583,3939,2201,
98,2964,3059,1539,
99,6073,6342,4375,
100,3571,2942,1572,
101,3763,2553,1529,
102,3114,2321,1397,
103,2887,2459,1499,
104,2726,2078,1317,
105,3239,2092,1357,
106,3438,2036,1265,
107,2556,1875,1266,
108,2573,1852,1225,
109,3124,2101,1170,
110,3275,2027,1726,
111,3463,1875,1175,
112,2682,1668,1166,
113,2895,1682,1090,
114,2400,1653,1228,
115,3171,1555,1157,
116,2686,1429,1159,
117,2502,1480,1106,
118,2039,1355,1090,
119,2118,1258,1031,
120,2663,1255,1027,
121,2140,1165,999,
122,1704,1206,1005,
123,1828,1108,995,
124,1898,1126,948,
125,2208,1067,947,
126,1596,1008,991,
127,1610,1023,973,
128,1652,1076,886,
129,1762,1043,844,
130,1727,1018,935,
131,1458,972,943,
132,1432,931,858,
133,1330,962,884,
134,1686,929,872,
135,1492,916,821,
136,1312,921,877,
137,1209,850,784,
138,1372,797,764,
139,1432,862,739,
140,1182,888,780,
141,1036,819,862,
142,1075,777,726,
143,1207,840,685,
144,1120,786,691,
145,1034,754,763,
146,956,790,727,
147,960,796,660,
148,1180,750,680,
149,958,776,603,
150,908,786,609,
151,803,772,637,
152,886,727,661,
153,1175,711,568,
154,834,762,623,
155,821,710,605,
156,782,643,557,
157,712,754,574,
158,943,717,506,
159,656,593,590,
160,666,593,507,
161,594,671,502,
162,652,617,513,
163,789,654,525,
164,563,580,474,
165,577,586,500,
166,597,534,512,
167,640,539,462,
168,687,520,453,
169,524,517,504,
170,547,530,530,
171,504,487,493,
172,655,458,496,
173,526,456,497,
174,533,470,465,
175,471,455,440,
176,496,463,464,
177,614,451,455,
178,508,462,466,
179,488,471,407,
180,448,409,404,
181,451,415,450,
182,625,409,400,
183,474,421,401,
184,432,414,379,
185,441,408,346,
186,451,397,343,
187,514,354,350,
188,377,380,327,
189,428,354,305,
190,420,366,283,
191,544,348,296,
192,413,308,280,
193,401,340,268,
194,376,359,249,
195,360,310,236,
196,511,321,226,
197,409,312,199,
198,348,336,219,
199,377,275,203,
200,366,336,186,
201,470,305,175,
202,448,294,180,
203,355,269,155,
204,360,339,143,
205,372,325,146,
206,437,244,149,
207,361,284,150,
208,328,336,153,
209,340,254,152,
210,307,247,124,
211,399,249,110,
212,312,261,103,
213,270,256,106,
214,297,236,136,
215,361,252,93,
216,252,220,96,
217,227,215,80,
218,233,243,80,
219,260,229,71,
220,326,236,75,
221,198,218,80,
222,215,216,65,
223,245,231,70,
224,229,212,67,
225,270,185,53,
226,179,190,60,
227,229,186,53,
228,205,185,56,
229,188,191,55,
230,287,167,49,
231,160,183,42,
232,184,215,54,
233,183,158,34,
234,205,156,38,
235,187,162,39,
236,161,152,26,
237,177,150,23,
238,167,134,34,
239,193,134,20,
240,166,131,30,
241,123,138,26,
242,152,143,26,
243,142,148,30,
244,172,129,36,
245,117,125,24,
246,139,116,19,
247,141,134,16,
248,161,134,15,
249,163,128,15,
250,131,112,9,
251,143,123,18,
252,146,99,9,
253,185,107,9,
254,139,111,9,
255,3071,4012,151,
Means,92.50,82.02,68.52
STD,49.07,51.40,44.72
